#,etablissement,ville,commune,capacite_d_accueil,montant_des_frais_d_inscription,liste_des_filieres,sigle,commune,location,phone,email,website,subs_fee,scho_amount,sectors
1,AMERICAN UNIVERSITY OF COTE D'IVOIRE -(AUCI),ABIDJAN,COCODY,0,200 000 (portion de la scolarité du trim.),825,AUCI,COCODY,"COCODY-ANGRE, 8e Tranche,  Proximité Paroisse Jean-Paul II",['27 22 20 69 93'],[email protected],www.auciv.education,200 000 (portion de la scolarité du trim.),435 000 F/trimestre,"['FILIERE(S) DE FORMATION,CYCLE', '']"
2,BORDEAUX ECOLE DE MANAGEMENT -(BEM Abidjan),ABIDJAN,COCODY,0,,1014,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
3,CENTRE UNIVERSITAIRE PROFESSIONNALISE -(CUP),ABIDJAN,COCODY,0,100.000,283,CUP,COCODY,"Centre Universitaire Professionnalisé d’Abidjan sis à la RIVIERA 2 BONOUMIN , non loin de «CAP NORD »",['22493965'],[email protected],//www.cup-ci.org/,100.000,160.000,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : AD / ASSISTANAT DE DIRECTION,BTS', 'BTS : ATPA / AGRICULTURE TROPICALE OPTION PRODUCTION ANIMALE,BTS', 'BTS : ATPV / AGRICULTURE TROPICALE OPTION PRODUCTION VEGETALE,BTS', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', 'BTS : GEE / GENIE ENERGETIQUE ET ENVIRONNEMENT,BTS', ""BTS : GERN / GESTION DE L'ENVIRONNEMENT ET DES RESSOURCES NATURELLES,BTS"", 'BTS : IACC / INDUSTRIES AGRO-ALIMENTAIRES ET CHIMIQUES OPTION CONTROLE,BTS', 'BTS : IACP / INDUSTRIES AGRO-ALIMENTAIRES ET CHIMIQUES OPTION PRODUCTION,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : LOG / LOGISTIQUE,BTS', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,BTS', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '""LICENCE Information, communication et ressources humaines"",Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', '']"
4,CERAP/UNIVERSITE JESUITE -(CERAP/UJ),ABIDJAN,COCODY,0,,1005,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES ENTREPRISES OPTION MARKETING ET COMMUNICATION,Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
5,ECOLE SUPERIEURE D'INTERPRETARIAT ET DE TRADUCTION -(ESIT),ABIDJAN,COCODY,0,,533,,COCODY,,[''],[email protected],,,,"['FILIERE(S) DE FORMATION,CYCLE', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", ""LICENCE D'ESPAGNOL,Licence"", 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', '']"
6,ECOLE SUPERIEURE GADJI_UNIVERSITÉ -(ESUG_UNIVERSITÉ),ABIDJAN,PLATEAU,0,250 000 F,1031,ESUG,PLATEAU,Plateau sorbonne immeuble gyam 1er étage,"['2720220786 ', ' 0505741615  ', ' 0101517258 ', ' 0709136544 ', ' 0140939454']",[email protected],www.groupe- esug.com,250 000 F,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE GEOGRAPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN LETTRE MODERNE (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', '']"
7,ECOLE SUPERIEURE LE PETIT CHAMPION_UNIVERSITE -(ESPC_UNIVERSITE),ABIDJAN,ABOBO,0,,1033,,ABOBO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
8,ECOLE SUPERIEURE PLURIDISCIPLINAIRE D'ABIDJAN COCODY -(ESPA COCODY),ABIDJAN,COCODY,0,,826,,COCODY,Cocody 2 Plateaux Angré 7ième Tranche,"['22 41 36 68', ' 68 42 17 23']",[email protected],www.espa-university.tech,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AGRICULTURE TROPICALE,Licence', '""LICENCE COMMUNICATION : COMMUNICATION ENTREPRISE, JOURNALISTE TV"",Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE MARKETING,Licence', '']"
9,ECOLE SUPERIEURE PLURIDISCIPLINAIRE D'ABIDJAN/YAMOUSSOUKRO -(ESPA YAMOUSSOUKRO),YAMOUSSOUKRO,YAMOUSSOUKRO,0,,860,,YAMOUSSOUKRO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : CV / COMMUNICATION VISUELLE,BTS', 'LICENCE AGRICULTURE TROPICALE,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE MARKETING,Licence', '']"
10,ECOLE TECHNIQUE INFORMATIQUE ET COMMERCIALE-UNIVERSITY -(ETIC-UNIVERSITY),ABIDJAN,COCODY,0,,903,,COCODY,"COCODY 2 PLATEAUX, derrière le siège de l’ONG  SERVIR","['22 41 54 06 ', ' 22 41 15 11']",[email protected],,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE EN GESTION DES RESSOURCES HUMAINES,Licence', '""LICENCE Information, communication et ressources humaines"",', 'LICENCE SCIENCES BIOLOGIQUES (PRIVE),Licence', 'LICENCE SCIENCES MINIERES ET GEOLOGIQUES (PRIVE),Licence', '']"
11,EMMAUS INTERNATIONAL UNIVERSITY -(EIU),ABIDJAN,COCODY,0,,851,EIU,COCODY,,"['0708389517', ' 0747496931']",emmausuniversity@ gmail.com,www.emmaus-university.com,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
12,ETIC UNIVERSTY BONDOUKOU,BONDOUKOU,BONDOUKOU,0,,2123,,BONDOUKOU,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),BTS', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE EN MINES GEOLOGIE ET PETROLE,Licence', '']"
13,ETIC UNIVERSTY KORHOGO,KORHOGO,KORHOGO,0,,2121,,KORHOGO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', '']"
14,ETIC UNIVERSTY ODIENNE,ODIENNE,ODIENNE,0,,2122,,ODIENNE,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),BTS', 'LICENCE EN MINES GEOLOGIE ET PETROLE,Licence', '']"
15,FACULTES UNIVERSITAIRES PRIVEES D'ABIDJAN -(FUPA),ABIDJAN,COCODY,0,165 000 F CFA,523,FUPA,COCODY,Deux Plateaux Aghien Carrefour Opéra.,"['27 22 42 32 54 ', ' 0708 655\xa0539 ', ' 0504 598 787']",[email protected],www.fupa-edu.com,165 000 F CFA,595 000 F CFA,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', '']"
16,GLOBAL NUMERIK UNIVERSITY -(GNU),ABIDJAN,COCODY,0,85.000 F,1030,GNU,COCODY,"Cocody Angré, 8è tranche, derrière la pharmacie 8e tranche, cité abri 2000",['2722523803 - 0778443042 - 0140722436 - 0787806191'],[email protected],www.gn-university.com,85.000 F,0 F pour les affectés et 160.000 F pour les non affectés.,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : AD / ASSISTANAT DE DIRECTION,BTS', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GBAT / GENIE CIVIL OPTION BATIMENT,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : LOG / LOGISTIQUE,BTS', 'BTS : MGP / MINES GEOLOGIE ET PETROLE,BTS', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : SEI / SYSTEMES ELECTRONIQUES ET INFORMATIQUES,BTS', 'BTS : TH / TOURISME HOTELLERIE,BTS', '']"
17,HAUTES ETUDES COMMERCIALES D'ABIDJAN -(HEC-ABIDJAN),ABIDJAN,COCODY,0,175 000,273,HEC-ABIDJAN,COCODY,COCODY EN FACE DE L'ECOLE DE LA GENDARMERIE,['22484812'],[email protected],//www.hecabidjan.ci/index/,175 000,0,"['FILIERE(S) DE FORMATION,CYCLE', 'BTS : FCGE / FINANCES COMPTABILITE ET GESTION DES ENTREPRISES,BTS', 'BTS : GEC / GESTION COMMERCIALE,BTS', ""BTS : GERN / GESTION DE L'ENVIRONNEMENT ET DES RESSOURCES NATURELLES,BTS"", 'BTS : GTP / GENIE CIVIL OPTION TRAVAUX PUBLICS,BTS', ""BTS : IDA / INFORMATIQUE DEVELOPPEUR D'APPLICATIONS,BTS"", 'BTS : MGP / MINES GEOLOGIE ET PETROLE,BTS', 'BTS : RHC / RESSOURCES HUMAINES ET COMMUNICATION,BTS', 'BTS : RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,BTS', 'BTS : URBA / URBANISME,BTS', 'LICENCE ADMINISTRATION DES AFFAIRES,Licence', 'LICENCE EN GESTION DES RESSOURCES HUMAINES,Licence', 'LICENCE INFORMATIQUE OPTION GENIE LOGICIEL,Licence', 'LICENCE MARKETING MANAGEMENT,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE TRANSPORT ET LOGISTIQUE,Licence', '']"
18,IIPEA UNIVERSITE COCODY,ABIDJAN,COCODY,0,,2092,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', '""LICENCE LETTRES, ARTS ET SCIENCES HUMAINES"",Licence', '']"
19,INSITUT SUPERIEUR D'INGENIERIE ET DE SANTE YAMOUSSOUKRO -(ISIS YAMOUSSOUKRO),YAMOUSSOUKRO,YAMOUSSOUKRO,0,85 000 F,859,ISIS,YAMOUSSOUKRO,QUARTIER HABITAT ET COLLÉ À LA PMI YAMOUSSOUKRO,['27 21 78 49 20'],[email protected],www.isis-university.tech,85 000 F,370 000 F,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ELECTROMECANIQUE ET MECATRONIQUE,Licence', 'LICENCE ELECTRONIQUE,Licence', 'LICENCE GENIE BIOMEDICAL,Licence', 'LICENCE Génie civil,Licence', 'LICENCE HYGIENE,Licence', 'LICENCE IMAGERIE MEDICALE ET RADIOTHERAPIE,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE SECRETARIAT MEDICAL DOCUMENTALISTE,Licence', '']"
20,INSTITIES-LE CAMPUS COCODY_UNIVERSITEUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS COCODY -(IES-LE CAMPUS COCODY),ABIDJAN,,0,,1060,,,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
21,INSTITUT CATHOLIQUE MISSIONNAIRE D'ABIDJAN -(ICMA),ABIDJAN,ABOBO,0,,1009,,ABOBO,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ANTHROPOLOGIE (PRIVE),Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE PHILOSOPHIE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE DEVELOPPEMENT DURABLE,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE EN SOCIOLOGIE ET ETHNOLOGIE,Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE MANAGEMENT ET LEADERSHIP,Licence', 'LICENCE PSYCHOLOGIE (PRIVE),Licence', '']"
22,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS COCODY_UNIVERSITE -(IES-LE CAMPUS COCODY_UNIVERSITE),ABIDJAN,COCODY,0,,1028,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES ENTREPRISES OPTION MARKETING ET COMMUNICATION,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '""LICENCE LETTRES, ARTS ET SCIENCES HUMAINES"",Licence', 'LICENCE MANAGEMENT ET LEADERSHIP,Licence', 'LICENCE RELATIONS INTERNATIONALES ET DIPLOMATIE,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', '']"
23,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS MAN_UNIVERSITE -(IES-LE CAMPUS MAN_UNIVERSITE),MAN,MAN,0,,1029,,MAN,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES AFFAIRES,Licence', 'LICENCE ADMINISTRATION DES ENTREPRISES OPTION MARKETING ET COMMUNICATION,Licence', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', 'LICENCE COMMUNICATION DIGITALE,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DEVELOPPEMENT DURABLE,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE FINANCE BANQUE ASSURANCE (FBA),Licence', ""LICENCE GESTION DE L'ENVIRONNEMENT ET DES RESSOURCES NATURELLES,Licence"", 'LICENCE Génie civil,Licence', 'LICENCE Géologie mine pétrole et environnement,Licence', '""LICENCE Information, communication et ressources humaines"",Licence', '""LICENCE LETTRES, ARTS ET SCIENCES HUMAINES"",Licence', 'LICENCE MANAGEMENT DES PROJETS,Licence', 'LICENCE MANAGEMENT ET LEADERSHIP,Licence', 'LICENCE MANAGEMENT TOURISTIQUE ET HOTELIER,Licence', 'LICENCE MARKETING MANAGEMENT,Licence', 'LICENCE PROFESSIONNELLE EN FINANCE ET COMPTABILITE (PFC),Licence', 'LICENCE QUALITE SECURITE ENVIRONNEMENT,Licence', 'LICENCE RELATIONS INTERNATIONALES ET DIPLOMATIE,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', 'LICENCE TRANSPORT ET LOGISTIQUE,Licence', '']"
24,INSTITUT D'ENSEIGNEMENT SUPERIEUR LE CAMPUS YOPOUGON_UNIVERSITE -(IES-LE CAMPUS YOPOUGON_UNIVERSITE),ABIDJAN,YOPOUGON,0,,1017,,YOPOUGON,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION DES ENTREPRISES OPTION MARKETING ET COMMUNICATION,Licence', ""LICENCE D'ANGLAIS (PRIVE),Licence"", 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", '""LICENCE LETTRES, ARTS ET SCIENCES HUMAINES"",Licence', 'LICENCE MANAGEMENT ET LEADERSHIP,Licence', 'LICENCE RELATIONS INTERNATIONALES ET DIPLOMATIE,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE STATISTIQUES ET ECONOMIE APPLIQUEE,Licence', '']"
25,INSTITUT DE MANAGEMENT ET DES TECHNOLOGIES -(IMAT),ABIDJAN,COCODY,0,100.000 FCFA,1019,IMAT ABIDJAN,COCODY,DEUX PLATEAUX 7e TRANCHE NON LOIN DE LA PHARMACIE 7e TRANCHE,['25 21 00 34 28'],[email protected],www.imatabidjan.com,100.000 FCFA,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
26,INSTITUT EUROPEEN DES AFFAIRES -(IEA-ABIDJAN),ABIDJAN,COCODY,0,,1010,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
27,INSTITUT IES-LE CAMPUS COCODY_UNIVERSITESUPERIEUR LE CAMPUS COCODY -(IES-LE CAMPUS COCODY),ABIDJAN,COCODY,0,,1059,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', '']"
28,INSTITUT IVOIRIEN DE TECHNOLOGIE -(IIT),BASSAM,BASSAM,0,50 000F CFA,858,IIT,BASSAM,ZONE FRANCHE VITIB GRAND BASSAM,['53 15 15 15'],[email protected],www.iit.ci,50 000F CFA,800 000F AFFECTES/ 1 150 000F NON AFFECTES,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE ADMINISTRATION ET GESTION DES ENTREPRISES,Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE MARKETING,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', '']"
29,INSTITUT SUPERIEUR D'INGENIERIE ET DE SANTE COCODY -(ISIS COCODY),ABIDJAN,COCODY,0,85000,699,ISIS,COCODY,Cocody 2 Plateaux Angré 7ième Tranche,['22 41 36 68'],[email protected],www.isis-university.tech,85000,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE ELECTROMECANIQUE ET MECATRONIQUE,Licence', 'LICENCE ELECTRONIQUE,Licence', 'LICENCE EN NUTRITION HUMAINE,Licence', 'LICENCE EN OPTIQUE ET LUNETTERIE,Licence', 'LICENCE EN PROTHESE DENTAIRE,Licence', 'LICENCE EN SANTE ET SECURITE AU TRAVAIL,Licence', 'LICENCE GENIE BIOMEDICAL,Licence', 'LICENCE Génie civil,Licence', 'LICENCE HYGIENE,Licence', 'LICENCE IMAGERIE MEDICALE ET RADIOTHERAPIE,Licence', 'LICENCE RIT / RESEAUX INFORMATIQUES ET TELECOMMUNICATIONS,Licence', 'LICENCE SECRETARIAT MEDICAL DOCUMENTALISTE,Licence', '']"
30,INSTITUT SUPERIEUR UNIVERSITAIRE POLYTECHNIQUE ACKA EWADJO CECILE -(ISUPEC),GRAND LAHOU,GRAND LAHOU,0,140 000 F,1032,ISUPEC,GRAND LAHOU,,[''],,,140 000 F,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', '']"
31,INSTITUT UNIVERSITAIRE D'ABIDJAN -(IUA),ABIDJAN,COCODY,0,,525,,COCODY,,[''],[email protected],,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE AUDIT ET CONTROLE DE GESTION,Licence', 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHEMATIQUES,Licence', 'LICENCE DE MATHÉMATIQUE APPLIQUE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE DE SCIENCES INFORMATIQUES,Licence', 'LICENCE EN ETUDES DU DÉVELOPPEMENT,Licence', 'LICENCE EN GESTION DES RESSOURCES HUMAINES,Licence', 'LICENCE EN LOGISTIQUE,Licence', 'LICENCE EN MATHEMATIQUE OPTION ACTUARIAT,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE Génie civil,Licence', 'LICENCE MARKETING MANAGEMENT,Licence', 'Licence en Sciences Politiques,Licence', '']"
32,INSTITUT UNIVERSITAIRE D'ABIDJAN-BLUETOOTH -(IUA-BLUETOOTH),ABIDJAN,COCODY,0,,1006,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHÉMATIQUE APPLIQUE (PRIVE),Licence', ""LICENCE DE SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION (SIC),Licence"", 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN ETUDES DU DÉVELOPPEMENT,Licence', 'LICENCE Génie civil,Licence', 'Licence en Sciences Politiques,Licence', '']"
33,INSTITUT UNIVERSITAIRE D'ABIDJAN-BONOUMIN -(IUA-BONOUMIN),ABIDJAN,COCODY,0,,1007,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHÉMATIQUE APPLIQUE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN ETUDES DU DÉVELOPPEMENT,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE Génie civil,Licence', 'Licence en Sciences Politiques,Licence', '']"
34,INSTITUT UNIVERSITAIRE D'ABIDJAN-ZINSOU -(IUA-ZINSOU),ABIDJAN,COCODY,0,,1008,,COCODY,,[''],,,,,"['FILIERE(S) DE FORMATION,CYCLE', 'LICENCE DE DROIT,Licence', 'LICENCE DE MATHÉMATIQUE APPLIQUE (PRIVE),Licence', 'LICENCE DE SCIENCES ECONOMIQUES ET DE GESTION (PRIVE),Licence', 'LICENCE EN ETUDES DU DÉVELOPPEMENT,Licence', ""LICENCE EN SCIENCE DE L'INFORMATION ET DE LA COMMUNICATION,Licence"", 'LICENCE Génie civil,Licence', 'Licence en Sciences Politiques,Licence', '']"
